ラップ数,タイム,累積時間,距離,平均ペース,勾配調整後のペース（GAP）平均,平均心拍数,最大心拍数,総上昇量,総下降量,平均パワー,平均W/kg,最大パワー,最大W/kg,平均ピッチ,平均接地時間,平均GCTバランス,平均歩幅,平均上下動,平均上下動比,カロリー,平均気温,最高ペース,最高ピッチ,移動時間,平均移動ペース,身長,体重
1,00:50.2,00:50.2,0.2,4:11,,146,169,,6,,,,,168,215,左 50.4%／右 49.6%,1.37,10.1,8.1,9,,3:54,174,00:50.2,4:11,175,60
2,00:48.7,01:38.9,0.2,4:03,,170,173,8,,,,,,168,207,左 50.5%／右 49.5%,1.47,10.4,6.8,11,,4:02,169,00:48.7,4:04,175,60
3,00:48.3,02:27.2,0.2,4:02,,177,181,,9,,,,,167,205,左 50.4%／右 49.6%,1.49,10.4,6.8,11,,4:02,168,0:48,4:00,175,60
4,00:49.2,03:16.4,0.2,4:06,,184,185,13,4,,,,,166,208,左 50.2%／右 49.8%,1.47,10.5,6.9,11,,4:02,168,0:49,4:05,175,60
5,00:49.4,04:05.8,0.2,4:07,,185,186,,8,,,,,167,206,左 50.2%／右 49.8%,1.47,10.5,6.9,11,,4:05,168,00:49.4,4:07,175,60
6,00:49.0,04:54.7,0.2,4:05,,187,189,9,,,,,,167,210,左 50.2%／右 49.8%,1.47,10.5,6.9,11,,4:05,168,00:49.0,4:05,175,60
7,00:48.0,05:42.7,0.2,4:00,,187,188,,9,,,,,167,207,左 49.9%／右 50.1%,1.5,10.4,6.7,11,,4:01,168,0:48,4:00,175,60
8,00:48.6,06:31.4,0.2,4:03,,190,191,9,8,,,,,167,211,左 50.1%／右 49.9%,1.47,10.3,6.8,11,,4:03,168,0:48,4:00,175,60
9,00:49.3,07:20.7,0.2,4:06,,191,191,,0,,,,,166,208,左 50.0%／右 50.0%,1.49,10.5,6.8,12,,4:03,167,00:49.3,4:06,175,60
10,00:49.2,08:09.8,0.2,4:06,,189,191,8,9,,,,,166,210,左 50.0%／右 50.0%,1.47,10.6,7,11,,4:05,167,0:49,4:05,175,60
11,00:50.4,09:00.3,0.2,4:12,,190,193,10,,,,,,166,205,左 50.4%／右 49.6%,1.47,10.7,7.1,12,,4:04,167,0:50,4:10,175,60
12,00:47.0,09:47.2,0.2,3:55,,193,194,,11,,,,,167,203,左 50.1%／右 49.9%,1.5,10.4,6.8,11,,4:01,169,00:47.0,3:55,175,60
13,00:49.9,10:37,0.2,4:10,,194,194,7,,,,,,167,205,左 50.1%／右 49.9%,1.48,10.5,6.9,12,,4:00,168,00:49.9,4:10,175,60
14,00:47.4,11:25,0.2,3:57,,195,196,3,8,,,,,168,206,左 50.1%／右 49.9%,1.49,10.3,6.7,12,,3:59,169,00:47.4,3:57,175,60
15,00:48.5,12:13,0.2,4:03,,195,196,12,3,,,,,167,200,左 50.0%／右 50.0%,1.5,10.5,6.7,11,,3:58,169,0:48,4:00,175,60
16,00:10.3,12:23,0.04,4:31,,196,196,,,,,,,157,215,左 49.8%／右 50.3%,1.51,9.5,7,3,,4:02,167,0:10,4:23,,
