ラップ数,タイム,累積時間,距離,平均ペース,勾配調整後のペース（GAP）平均,平均心拍数,最大心拍数,総上昇量,総下降量,平均パワー,平均W/kg,最大パワー,最大W/kg,平均ピッチ,平均接地時間,平均GCTバランス,平均歩幅,平均上下動,平均上下動比,カロリー,平均気温,最高ペース,最高ピッチ,移動時間,平均移動ペース,身長,体重
1,00:39.8,00:39.8,0.2,3:19,,120,144,,8,,,,,180,167,左 60.5%／右 39.5%,1.39,9.4,12.1,4,,3:32,183,0:39,3:15,168,59
2,00:44.9,01:24.7,0.2,3:44,,153,157,9,,,,,,178,173,左 58.4%／右 41.6%,1.5,8.9,5.7,8,,3:38,179,00:44.9,3:44,168,59
3,00:44.5,02:09.2,0.2,3:43,,158,163,,8,,,,,180,169,左 58.0%／右 42.0%,1.45,8.9,5.9,8,,3:44,181,0:44,3:40,168,59
4,00:45.4,02:54.6,0.2,3:47,,158,163,9,,,,,,179,170,左 57.6%／右 42.4%,1.44,9,6,10,,3:15,181,00:45.4,3:47,168,59
5,00:42.7,03:37.3,0.2,3:33,,159,162,,11,,,,,180,167,左 56.8%／右 43.2%,1.55,8.9,5.5,9,,3:31,183,0:42,3:30,168,59
6,00:44.2,04:21.5,0.2,3:41,,161,164,12,,,,,,181,166,左 57.0%／右 43.0%,1.52,8.7,5.5,10,,3:31,183,0:44,3:40,168,59
7,00:42.5,05:03.9,0.2,3:32,,164,167,,9,,,,,181,165,左 56.8%／右 43.2%,1.55,8.8,5.4,10,,3:23,183,00:42.5,3:32,168,59
8,00:44.2,05:48.1,0.2,3:41,,163,166,8,7,,,,,181,166,左 57.0%／右 43.0%,1.52,8.8,5.5,10,,3:29,182,0:44,3:40,168,59
9,00:44.3,06:32.4,0.2,3:41,,162,164,,3,,,,,181,177,左 54.4%／右 45.6%,1.45,9,6,9,,3:31,185,0:44,3:40,168,59
10,00:41.2,07:13.6,0.2,3:26,,164,166,8,,,,,,185,162,左 59.9%／右 40.1%,1.54,8.7,5.5,10,,3:01,186,00:41.2,3:26,168,59
11,00:41.5,07:55.1,0.2,3:27,,167,169,,6,,,,,186,159,左 60.3%／右 39.7%,1.57,8.5,5.2,8,,3:19,189,0:41,3:25,168,59
12,00:41.1,08:36.1,0.2,3:25,,169,172,10,11,,,,,182,164,左 55.6%／右 44.4%,1.64,9.2,5.2,9,,3:21,188,0:41,3:25,168,59
13,00:42.8,09:18.9,0.2,3:34,,170,174,9,,,,,,184,166,左 55.7%／右 44.3%,1.55,8.5,5.2,9,,3:18,186,00:42.8,3:34,168,59
14,00:38.9,09:57.8,0.2,3:14,,162,169,,9,,,,,185,160,左 56.9%／右 43.1%,1.62,8.1,4.8,9,,3:19,188,00:38.9,3:14,168,59
15,00:38.6,10:36,0.2,3:13,,164,167,9,,,,,,186,160,左 56.0%／右 44.0%,1.72,8.8,4.8,8,,3:04,191,0:38,3:10,168,59
16,00:00.5,10:37,0,1:54,,160,160,,,,,,,191,150,左 58.0%／右 42.0%,1.65,8,4.9,0,,3:07,191,00:00.5,1:54,168,59
